Descriptor_Name,R2_Score
Original,0.678624
ExactMolWt,0.0
MolWt,0.471169
MolLogP,0.818502
MolMR,0.705086
TPSA,0.646102
NumRotatableBonds,0.762375
HeavyAtomCount,0.770981
NumHAcceptors,0.695362
NumHDonors,0.685695
NumHeteroatoms,0.723773
NHOHCount,0.675862
NOCount,0.667467
RingCount,0.711458
NumAromaticRings,0.683873
NumSaturatedRings,0.713605
NumAliphaticRings,0.663125
CalcLabuteASA,0.606658
NumValenceElectrons,0.637294
BalabanJ,0.681551
BertzCT,0.721872
Ipc,0.783138
Kappa1,0.817019
Kappa2,0.810086
Kappa3,0.690405
Kappa_all_sum,0.781716
Kappa_all_ind,0.820309
Chi0,0.784763
Chi0n,0.801636
Chi0v,0.805575
Chi1,0.785
Chi1n,0.774502
Chi1v,0.80814
Chi2n,0.78007
Chi2v,0.753878
Chi3n,0.712044
Chi3v,0.726155
Chi4n,0.704208
Chi4v,0.723744
ChiN_,0.78673
ChiNv_,0.833038
Chi_ALL_sum,0.711798
Chi_ALL_ind,0.765088
CalcPhi,0.775519
HallKierAlpha,0.709146
CalcNumAmideBonds,0.696134
FractionCSP3,0.692541
CalcNumSpiroAtoms,0.687191
CalcNumBridgeheadAtoms,0.69915
PEOE_VSA1,0.684955
PEOE_VSA2,0.713102
PEOE_VSA3,0.67872
PEOE_VSA4,0.677651
PEOE_VSA5,0.68193
PEOE_VSA6,0.625656
PEOE_VSA7,0.0
PEOE_VSA8,0.683131
PEOE_VSA9,0.675186
PEOE_VSA10,0.677081
PEOE_VSA11,0.695559
PEOE_VSA12,0.700723
PEOE_VSA13,0.675819
PEOE_VSA14,0.665491
PEOE_VSA_ALL_sum,0.690779
PEOE_VSA_ALL_ind,0.8073
SMR_VSA1,0.650883
SMR_VSA2,0.704792
SMR_VSA3,0.677033
SMR_VSA4,0.698821
SMR_VSA5,0.761275
SMR_VSA6,0.669375
SMR_VSA7,0.616825
SMR_VSA8,0.707905
SMR_VSA9,0.677312
SMR_VSA10,0.682413
SMR_VSA_ALL_SUM,0.575027
SMR_VSA_ALL_IND,0.789875
SlogP_VSA1,0.650392
SlogP_VSA2,0.681529
SlogP_VSA3,0.711508
SlogP_VSA4,0.689424
SlogP_VSA5,0.777618
SlogP_VSA6,0.63258
SlogP_VSA7,0.675174
SlogP_VSA8,0.674104
SlogP_VSA9,0.685332
SlogP_VSA10,0.681931
SlogP_VSA11,0.69253
SlogP_VSA12,0.632438
SlogP_VSA_ALL_sum,0.652602
SlogP_VSA_ALL_ind,0.811691
EState_VSA_EState1,0.638011
EState_VSA_EState2,0.709226
EState_VSA_EState3,0.678053
EState_VSA_EState4,0.655002
EState_VSA_EState5,0.698322
EState_VSA_EState6,0.57633
EState_VSA_EState7,0.746533
EState_VSA_EState8,0.681646
EState_VSA_EState9,0.674057
EState_VSA_EState10,0.652282
VSA_EState_ALL_sum,0.718785
VSA_EState_ALL_ind,0.777481
Asphericity,0.675632
PBF,0.68294
PMI1,0.70437
PMI2,0.696589
PMI3,0.709185
PMI_ALL_sum,0.695382
PMI_ALL_ind,0.725755
NPR1,0.690829
NPR2,0.710683
NPR_ALL_sum,0.6854
NPR_ALL_ind,0.663063
RadiusOfGyration,0.676248
InertialShapeFactor,0.702394
Eccentricity,0.677822
SpherocityIndex,0.726486
MQNs,0.846185
AUTOCORR2D,0.456065
AUTOCORR3D,0.717488
RDF,0.611369
BCUT2D,0.586963
MORSE,0.559185
WHIM,0.172336
GETAWAY,0.679287
