split,dataset,fingerprint,model,training,train_time,r2,rmse,mae,r2_std,rmse_std
cl,lo,morgan,Ridge,cv,0.07911229133605957,0.29374474428720454,1.331076906283496,1.0117717679551381,0.04897843409388663,0.04412261167824587
cl,lo,morgan,SVR,simple,0.44645094871520996,0.25974377646791236,1.362741042234503,1.031295182385957,,
cl,lo,morgan,SVR,cv,1.1029040813446045,0.2546442534786221,1.3674268536179803,1.0355491010912774,0.006684508948843072,0.006139163947202564
cl,lo,morgan,RandomForest,simple,0.6750309467315674,0.2744037277467857,1.349179779626639,1.022879874516942,,
cl,lo,morgan,RandomForest,cv,3.4660696983337402,0.327342891778307,1.2990299682649786,0.9860986384071665,0.026857349600100746,0.025668751136071994
cl,lo,morgan,XGBoost,simple,0.7715060710906982,0.24703134848103037,1.374392416070775,1.0590257838175992,,
cl,lo,morgan,XGBoost,cv,3.827975034713745,0.2407606900602819,1.3801034615954049,1.0671199548133576,0.024171995107509878,0.02082390427866588
cl,lo,morgan,LightGBM,simple,0.3131718635559082,0.24515011714382395,1.3761082492231829,1.0273960145185812,,
cl,lo,morgan,LightGBM,cv,1.3707633018493652,0.2792337916265716,1.3446817510456475,1.02276588215696,0.03590180143937251,0.03231954418267765
cl,ws,morgan,Ridge,simple,0.006822347640991211,0.019848403440087203,1.729892255412612,1.4434712936401368,,
cl,ws,morgan,Ridge,cv,0.03560495376586914,0.20610069689996868,1.5568799973424259,1.2988206893276424,0.07080552834375309,0.06524082697529468
cl,ws,morgan,SVR,simple,0.09164166450500488,-0.03381146945072255,1.7766140878780186,1.5291639530421102,,
cl,ws,morgan,SVR,cv,0.33765101432800293,-0.05877734837686477,1.7979381563412717,1.5464758603640933,0.03524286903943923,0.030044879717249205
cl,ws,morgan,RandomForest,simple,0.3718118667602539,0.32405425420259304,1.4365751446388326,1.2003831166666663,,
cl,ws,morgan,RandomForest,cv,1.5661375522613525,0.3229102306020004,1.4377903169220216,1.2125830828571424,0.027341818393096948,0.028352519006567312
cl,ws,morgan,XGBoost,simple,0.20922207832336426,0.3186970744384158,1.4422566678278175,1.1650510896772144,,
cl,ws,morgan,XGBoost,cv,0.9860644340515137,0.4245675113148796,1.325469130569555,1.118789567399025,0.045995448806142,0.050505798198725305
cl,ws,morgan,LightGBM,simple,0.054060935974121094,0.28592819097968303,1.4765337299880117,1.2172526784833584,,
cl,ws,morgan,LightGBM,cv,0.24296116828918457,0.2807368184686386,1.4818912830925266,1.2257329920434659,0.060859450941010605,0.06104837912388132
cl,hu,morgan,Ridge,simple,0.016452789306640625,-0.7617624331426509,2.2752256222846388,1.7699327701583625,,
cl,hu,morgan,Ridge,cv,0.06964778900146484,-0.5226393556092792,2.115189698582479,1.6138584810855,0.3849802352188335,0.2404064000585143
cl,hu,morgan,SVR,simple,0.8180816173553467,0.010809327812048464,1.7048681738664766,1.264503248027492,,
cl,hu,morgan,SVR,cv,2.5144197940826416,-0.003955381225447585,1.7175445205869544,1.2771760512227388,0.018821978938669326,0.01608118046209144
cl,hu,morgan,RandomForest,simple,0.6013853549957275,-0.3380374441698697,1.982827487676285,1.5115086859142608,,
cl,hu,morgan,RandomForest,cv,3.294121265411377,-0.29259022805489443,1.9488626457680676,1.4860116776652916,0.06039947717607387,0.045036193001631676
cl,hu,morgan,XGBoost,simple,0.8934481143951416,-0.14661648799448068,1.8355232441334162,1.4018623269723625,,
cl,hu,morgan,XGBoost,cv,3.6723086833953857,-0.17523602995611465,1.8582893846310906,1.412894399970594,0.028945974575601413,0.022126087333484406
cl,hu,morgan,LightGBM,simple,0.29210782051086426,-0.25471471339276364,1.9200975465620889,1.4577973075683746,,
cl,hu,morgan,LightGBM,cv,1.0593676567077637,-0.20096259196938937,1.878518763406315,1.422395507239649,0.09169556548842356,0.07220219090392722
