split,dataset,combination,model,training,test_r2,test_rmse,test_mae,test_mse,n_features,test_r2_std,test_rmse_std,test_mae_std
sa,de,morgan+maccs,DNN,simple,0.7209714813299739,1.1391711837402745,0.8397573368573575,1.2977109858642182,2215,,,
sa,de,morgan+maccs,DNN,cv,0.7153048366060586,1.15068046031899,0.8541998783076198,1.3240655217599224,2215,0.018278892770964825,0.0343465202189791,0.027027840257456942
sa,lo,morgan+maccs,DNN,simple,0.4819116283327516,1.1498268822754734,0.8234503959029982,1.3221018592033351,2215,,,
sa,lo,morgan+maccs,DNN,cv,0.491226079597081,1.1394439223889645,0.8530895766304858,1.2983324522691488,2215,0.017507392258946434,0.01867822452034057,0.02100852177227348
sa,ws,morgan+maccs,DNN,simple,0.6666884518123292,1.2981103498012783,1.026008092937646,1.6850904802611968,2215,,,
sa,ws,morgan+maccs,DNN,cv,0.6588021471794077,1.3133775148705962,1.052467791614709,1.7249604965676628,2215,0.06396729774485223,0.11006294228112004,0.11898463141579334
sa,hu,morgan+maccs,DNN,simple,0.7641636206408543,1.077711464253469,0.8210432866257978,1.1614620001833562,2215,,,
sa,hu,morgan+maccs,DNN,cv,0.7404934456019586,1.1305018282294745,0.8525815110801594,1.2780343836301842,2215,0.0185451317797243,0.038177717096929006,0.01763309751645686
sa,de,morgan+avalon,DNN,simple,0.7507088464983106,1.0767580503290521,0.7980429138172932,1.1594078989484216,2560,,,
sa,de,morgan+avalon,DNN,cv,0.7498717727678327,1.078564312828684,0.8020209513509237,1.1633009769076113,2560,0.012825604383193454,0.025820082915834888,0.01217446141456005
sa,lo,morgan+avalon,DNN,simple,0.5456164679027355,1.0768168113216057,0.806932764246441,1.1595344451448304,2560,,,
sa,lo,morgan+avalon,DNN,cv,0.517085626401507,1.1101089437173273,0.8236081013114317,1.2323418669212,2560,0.04499802005702978,0.04983600864711981,0.03955709952092266
sa,ws,morgan+avalon,DNN,simple,0.7209721979058984,1.1877093385947137,0.9258700268798405,1.4106534729850924,2560,,,
sa,ws,morgan+avalon,DNN,cv,0.7157225279590214,1.1988301439695845,0.9443594366974303,1.4371937140901347,2560,0.029097200205282312,0.056358957825339215,0.06345074381902438
sa,hu,morgan+avalon,DNN,simple,0.7800514095568923,1.0407770207261262,0.798816902829823,1.0832168068715513,2560,,,
sa,hu,morgan+avalon,DNN,cv,0.7763661696392659,1.049459913859464,0.7892618938308236,1.1013661107979136,2560,0.013169557279726407,0.02953935502680708,0.025589033021664383
sa,de,maccs+avalon,DNN,simple,0.8334910110435939,0.8800017498923045,0.6675466406938992,0.774403079813518,679,,,
sa,de,maccs+avalon,DNN,cv,0.835578438901462,0.8744683137744215,0.6237018051593284,0.76469483179548,679,0.010105821326726197,0.025079242783600443,0.023956334239999544
sa,lo,maccs+avalon,DNN,simple,0.6214240898737378,0.9828947676163252,0.7142234485414051,0.96608212420755,679,,,
sa,lo,maccs+avalon,DNN,cv,0.6305505638317591,0.9709749809911605,0.7127746931060681,0.9427924137107845,679,0.031449109576464775,0.03924314401275402,0.03248897584084164
sa,ws,maccs+avalon,DNN,simple,0.8273738692720025,0.9341996500676308,0.7590561270493049,0.872728986186484,679,,,
sa,ws,maccs+avalon,DNN,cv,0.7897305608267096,1.0310376162256827,0.8141054180098906,1.063038566072338,679,0.07076006221600775,0.14803857234579748,0.08494379552464246
sa,hu,maccs+avalon,DNN,simple,0.8506126991879497,0.8577366029393432,0.647245917387888,0.7357120800219245,679,,,
sa,hu,maccs+avalon,DNN,cv,0.8466144133879777,0.8691392824048834,0.6444516864947394,0.7554030922192756,679,0.021451651356639113,0.05377037274816945,0.05391054932955172
sa,de,morgan+maccs+avalon,DNN,simple,0.7773743451177262,1.0175418938250391,0.7571337720083027,1.035391505689047,2727,,,
sa,de,morgan+maccs+avalon,DNN,cv,0.7743559037537144,1.0244167748085702,0.7632469828160313,1.049429728509193,2727,0.013664763505816798,0.02871300469069546,0.0239075492222683
sa,lo,morgan+maccs+avalon,DNN,simple,0.5543456124954527,1.0664233087429016,0.8143405484818527,1.137258673430158,2727,,,
sa,lo,morgan+maccs+avalon,DNN,cv,0.5415590974080025,1.081613788458294,0.8021122462882426,1.169888387383103,2727,0.030689239299638585,0.03463405207777351,0.027972174460261023
sa,ws,morgan+maccs+avalon,DNN,simple,0.7472989126790466,1.130290265827672,0.8951631245900084,1.2775560850247893,2727,,,
sa,ws,morgan+maccs+avalon,DNN,cv,0.7978002427912867,1.0110595763793377,0.7844551399239786,1.022241466988366,2727,0.02120057201069803,0.04795977758213188,0.03707087738403407
sa,hu,morgan+maccs+avalon,DNN,simple,0.8200626261133638,0.9413644474241369,0.7121541863922954,0.8861670228741506,2727,,,
sa,hu,morgan+maccs+avalon,DNN,cv,0.8054497888149229,0.9788428134144486,0.7513267432676352,0.9581332533731131,2727,0.012548798274480378,0.029870431133886245,0.01929971194625228
