Descriptor_Name,R2_Score
Original,0.6001908602578466
ExactMolWt,0.6705363948291532
MolLogP,0.7489192263773293
MolMR,0.8059995507037769
TPSA,0.5489541823052227
NumRotatableBonds,0.6930610895483689
HeavyAtomCount,0.7777166689733285
NumHAcceptors,0.664070237313344
NumHDonors,0.638094849972906
NumHeteroatoms,0.6025743987837041
NHOHCount,0.5521496474873095
NOCount,0.641964390655064
RingCount,0.6275571130383559
NumAromaticRings,0.6288942645790947
NumSaturatedRings,0.6591323845429411
NumAliphaticRings,0.6489701567095975
CalcLabuteASA,0.7967386780851865
NumValenceElectrons,0.7610583967871408
BalabanJ,0.6519728689629047
BertzCT,0.6918754204211746
Ipc,0.6543634197038257
Kappa1,0.786414419650495
Kappa2,0.7574651897135196
Kappa3,0.6672586273660053
Kappa_all_sum,0.807734181755184
Kappa_all_ind,0.801615901499023
Chi0,0.7194452677045553
Chi0n,0.7509524585292611
Chi0v,0.7757586602670495
Chi1,0.7085541383324414
Chi1n,0.7240453055699831
Chi1v,0.783693319071961
Chi2n,0.7071418699246743
Chi2v,0.6910258147602953
Chi3n,0.6636192260490676
Chi3v,0.7188964995279112
Chi4n,0.6863298553267148
Chi4v,0.7033418295092573
ChiNn_,0.5165905619946908
ChiNv_,0.7676779312024166
Chi_ALL_sum,0.7394208457831681
Chi_ALL_ind,0.7846026836314188
CalcPhi,0.7514273208531511
HallKierAlpha,0.5926123119023563
CalcNumAmideBonds,0.6189443503961134
FractionCSP3,0.5934480156332376
CalcNumSpiroAtoms,0.6123514893414648
CalcNumBridgeheadAtoms,0.6252714135810215
PEOE_VSA1,0.5962495433716645
PEOE_VSA2,0.6113000504499173
PEOE_VSA3,0.5768433613662184
PEOE_VSA4,0.5595180307528662
PEOE_VSA5,0.5070346457339532
PEOE_VSA6,0.6730498841358427
PEOE_VSA7,0.5761885910157087
PEOE_VSA8,0.6457103460204348
PEOE_VSA9,0.5170579370275334
PEOE_VSA10,0.6382478198709012
PEOE_VSA11,0.5697038640917325
PEOE_VSA12,0.5704888331025935
PEOE_VSA13,0.5613908662519329
PEOE_VSA14,0.6562014854852909
PEOE_VSA_ALL_sum,0.7687332246778722
PEOE_VSA_ALL_ind,0.7682878078140986
SMR_VSA1,0.6509162759089823
SMR_VSA2,0.41473750684590316
SMR_VSA3,0.5945630327239757
SMR_VSA4,0.5679051308955005
SMR_VSA5,0.7624838176584504
SMR_VSA6,0.5110650364872261
SMR_VSA7,0.6726735365955782
SMR_VSA8,0.5797486117486328
SMR_VSA9,0.6233139158272133
SMR_VSA10,0.6453748153173353
SMR_VSA_ALL_SUM,0.7753444395554409
SMR_VSA_ALL_IND,0.8052065760491908
SlogP_VSA1,0.6305866825360488
SlogP_VSA2,0.5678440666245739
SlogP_VSA3,0.5381851016484647
SlogP_VSA4,0.5485804301406974
SlogP_VSA5,0.7173133319518267
SlogP_VSA6,0.6814503421977279
SlogP_VSA7,0.5226124670375004
SlogP_VSA8,0.6400901412990094
SlogP_VSA9,0.6028951606205417
SlogP_VSA10,0.5674843875345111
SlogP_VSA11,0.6109310941733189
SlogP_VSA12,0.5853343025470565
SlogP_VSA_ALL_sum,0.7839772893750495
SlogP_VSA_ALL_ind,0.7923793514871633
VSA_EState1,0.5957013186427405
VSA_EState2,0.6722663001691396
VSA_EState3,0.6264761885574173
VSA_EState4,0.591423860872359
VSA_EState5,0.5412080081024264
VSA_EState6,0.6523674366791159
VSA_EState7,0.6869837748100358
VSA_EState8,0.6489011830090328
VSA_EState9,0.6155549625096699
VSA_EState10,0.6465458782430198
VSA_EState_ALL_sum,0.7338564879208329
VSA_EState_ALL_ind,0.7949829636608006
Asphericity,0.6035267472887278
PBF,0.5995160435959735
PMI1,0.5816849489010973
PMI2,0.5892369447777066
PMI3,0.6098285113218964
PMI_ALL_sum,0.5692401560879672
PMI_ALL_ind,0.6288691232047222
NPR1,0.6139351227848171
NPR2,0.593626646636966
NPR_ALL_sum,0.6284973984795053
NPR_ALL_ind,0.5179253183617485
RadiusOfGyration,0.7041298483205617
InertialShapeFactor,0.6025280122956168
Eccentricity,0.6054882548944632
SpherocityIndex,0.607028349191117
MQNs_,0.7815619326390497
AUTOCORR2D,0.7688814400186516
AUTOCORR3D,0.6929873937504221
RDF,0.7839370584174445
BCUT2D,0.6656772567558253
MORSE,0.6708524464506639
WHIM,0.820715993934032
GETAWAY,0.7780308105055538
