Method,Best_Value,Best_X,Best_Y,Distance_from_Origin,Time_seconds,Efficiency
Bayesian (GP),3.7299133672270286,-0.011669468574079467,-0.014854715138151064,0.018890184187483262,5.660794019699097,0.6589028596071924
Grid Search,3.7252209179314035,0.0,0.0,0.0,0.0008041858673095703,4632.288466339566
Optuna TPE,3.227696246122596,-0.4805883681796753,-0.514110584832421,0.7037576806446499,0.207932710647583,15.52279213823693
Random Search,2.4442697204620445,0.13639697629196412,-0.434753889848702,0.45564797802708173,0.0007140636444091797,3423.041824912466
