method,best_value,best_x,best_y,time
Bayesian,-8.303503238530358e-12,0.9999972959495163,0.9999946914861727,0.012801647186279297
Grid Search,-1.0,0.0,0.0,0.0006277561187744141
Random Search,-5.383881477803428,0.8274293753904685,0.9160286721639492,0.00044798851013183594
