Module,Module_Type,Total_Time_s,Avg_Time_s,Max_Time_s,Min_Time_s,Total_Memory_MB,Avg_Memory_MB,Max_Memory_MB,Min_Memory_MB
5_ANO_feature,Feature Only,2075.677097797394,518.9192744493484,709.5170180797577,306.57492208480835,327.85546875,81.9638671875,98.76171875,64.8828125
6_ANO_structure,Structure Only,1073.2292926311493,268.3073231577873,443.1369254589081,159.2133810520172,28.56640625,7.1416015625,17.25390625,-3.640625
7_ANO_network_feature_structure,Feature→Structure,2613.700648546219,653.4251621365547,2060.169971227646,110.95020627975464,227.9140625,56.978515625,71.23046875,42.06640625
8_ANO_network_structure_feature,Structure→Feature,761.0184509754181,190.25461274385452,229.61719822883606,115.64092588424683,180.34765625,45.0869140625,57.40234375,32.125
