Module,Module_Type,Total_Time_s,Avg_Time_s,Max_Time_s,Min_Time_s,Total_Memory_MB,Avg_Memory_MB,Max_Memory_MB,Min_Memory_MB
5_ANO_feature,Feature Only,2075.677097797394,518.9192744493484,709.5170180797577,306.57492208480835,327.85546875,81.9638671875,98.76171875,64.8828125
6_ANO_structure,Structure Only,1073.2292926311493,268.3073231577873,443.1369254589081,159.2133810520172,28.56640625,7.1416015625,17.25390625,-3.640625
7_ANO_network_feature_structure,Feature→Structure,1549.1511144638062,387.28777861595154,667.9706740379333,201.62090468406677,296.96875,74.2421875,93.984375,46.11328125
8_ANO_network_structure_feature,Structure→Feature,1450.4182035923004,362.6045508980751,578.6101024150848,258.69460439682007,239.7734375,59.943359375,71.390625,51.84765625
