dataset,split,fp_combo,model,RMSE,MAE,R2,CV_train_R2_mean,CV_train_R2_std,CV_val_R2_mean,CV_val_R2_std
hu,cl,avalon,DNN,1.396063,1.042949,0.336702,0.8233376,0.033839062922013656,0.8233376,0.033839062922013656
hu,cl,morgan+maccs,DNN,1.339114,1.026519,0.389714,0.854678,0.025794282288910494,0.854678,0.025794282288910494
hu,cl,morgan+avalon,DNN,1.426499,1.051828,0.307466,0.8486188,0.025818875795820376,0.8486188,0.025818875795820376
hu,cl,maccs+avalon,DNN,1.325821,1.004804,0.40177,0.8586828000000001,0.026851451784959412,0.8586828000000001,0.026851451784959412
hu,cl,morgan+maccs+avalon,DNN,1.392538,1.072023,0.340048,0.8598706,0.027812488551727983,0.8598706,0.027812488551727983
hu,pc,morgan,DNN,0.937208,0.718547,0.796238,0.7574712,0.037741024604003526,0.7574712,0.037741024604003526
hu,pc,maccs,DNN,0.956953,0.666744,0.787561,0.7828976,0.026234551839892373,0.7828976,0.026234551839892373
hu,pc,avalon,DNN,0.837137,0.615952,0.837428,0.8149748000000001,0.02104016801643943,0.8149748000000001,0.02104016801643943
hu,pc,morgan+maccs,DNN,0.786474,0.575381,0.85651,0.8285876,0.02505986077056294,0.8285876,0.02505986077056294
hu,pc,morgan+avalon,DNN,0.763491,0.562589,0.864774,0.8316866,0.032763102060702355,0.8316866,0.032763102060702355
hu,pc,maccs+avalon,DNN,0.755916,0.563905,0.867444,0.8491645999999999,0.02174070738131582,0.8491645999999999,0.02174070738131582
hu,pc,morgan+maccs+avalon,DNN,0.72278,0.520847,0.878811,0.8520163999999999,0.0241136684442662,0.8520163999999999,0.0241136684442662
hu,ac,morgan,DNN,1.439543,1.035573,0.582242,0.793013,0.05184326222760294,0.793013,0.05184326222760294
hu,ac,maccs,DNN,1.366762,0.953524,0.623416,0.823217,0.01848989647347978,0.823217,0.01848989647347978
hu,ac,avalon,DNN,1.374125,1.003182,0.619348,0.8531578,0.03583423275807647,0.8531578,0.03583423275807647
hu,ac,morgan+maccs,DNN,1.26198,0.881053,0.678944,0.8717518,0.03149919545258262,0.8717518,0.03149919545258262
hu,ac,morgan+avalon,DNN,1.251017,0.899131,0.684498,0.8759162,0.03117214792342676,0.8759162,0.03117214792342676
hu,ac,maccs+avalon,DNN,1.230177,0.863828,0.694922,0.889846,0.02437957249009915,0.889846,0.02437957249009915
hu,ac,morgan+maccs+avalon,DNN,1.223109,0.861481,0.698417,0.8910602000000001,0.02483078673260275,0.8910602000000001,0.02483078673260275
hu,sa,morgan,DNN,1.023406,0.768281,0.787332,0.7366524,0.05721774311033249,0.7366524,0.05721774311033249
hu,sa,maccs,DNN,0.986598,0.702536,0.802355,0.7609438,0.04781876863910238,0.7609438,0.04781876863910238
hu,sa,avalon,DNN,0.916024,0.708714,0.82962,0.7949404,0.04140517126446889,0.7949404,0.04140517126446889
hu,sa,morgan+maccs,DNN,0.879905,0.647999,0.842791,0.8064738,0.029115844115532686,0.8064738,0.029115844115532686
hu,sa,morgan+avalon,DNN,0.872318,0.653945,0.84549,0.8249230000000001,0.03560274948371264,0.8249230000000001,0.03560274948371264
hu,sa,maccs+avalon,DNN,0.842677,0.631464,0.855812,0.8348926000000001,0.038079796168572114,0.8348926000000001,0.038079796168572114
hu,sa,morgan+maccs+avalon,DNN,0.805144,0.607493,0.868371,0.8323693999999999,0.03671738469226805,0.8323693999999999,0.03671738469226805
hu,ti,morgan,DNN,0.968978,0.720432,0.77974,0.743884,0.047784849762241566,0.743884,0.047784849762241566
hu,ti,maccs,DNN,0.921067,0.683993,0.800983,0.7700444000000001,0.030943490854136033,0.7700444000000001,0.030943490854136033
hu,ti,avalon,DNN,0.790451,0.594597,0.853425,0.7906072,0.03372142397586436,0.7906072,0.03372142397586436
hu,ti,morgan+maccs,DNN,0.836446,0.608164,0.835871,0.8157956000000001,0.04197127290707298,0.8157956000000001,0.04197127290707298
hu,ti,morgan+avalon,DNN,0.739523,0.542563,0.871704,0.8208202,0.02862731203868083,0.8208202,0.02862731203868083
hu,ti,maccs+avalon,DNN,0.756411,0.542167,0.865778,0.8359133999999999,0.026366707133049415,0.8359133999999999,0.026366707133049415
hu,ti,morgan+maccs+avalon,DNN,0.754414,0.558688,0.866486,0.8396296,0.025291721053340734,0.8396296,0.025291721053340734
hu,en,morgan,DNN,0.961438,0.73287,0.796584,0.7626868,0.0282793544721233,0.7626868,0.0282793544721233
hu,en,maccs,DNN,1.012229,0.702852,0.774524,0.7834434,0.010010796823430182,0.7834434,0.010010796823430182
hu,en,avalon,DNN,0.881559,0.658659,0.828981,0.8208028,0.025167341181777637,0.8208028,0.025167341181777637
hu,en,morgan+maccs,DNN,0.837362,0.616706,0.845699,0.8318501999999999,0.020197604644115606,0.8318501999999999,0.020197604644115606
hu,en,morgan+avalon,DNN,0.785022,0.565623,0.864385,0.8419504,0.0267657745981692,0.8419504,0.0267657745981692
hu,en,maccs+avalon,DNN,0.832143,0.611686,0.847616,0.85244,0.022337445628361364,0.85244,0.022337445628361364
hu,en,morgan+maccs+avalon,DNN,0.781045,0.565639,0.865756,0.8526258,0.030797626774801988,0.8526258,0.030797626774801988
