dataset,split,fp_combo,model,RMSE,MAE,R2,CV_train_R2_mean,CV_train_R2_std,CV_val_R2_mean,CV_val_R2_std
ws,ti,morgan,DNN,1.09499,0.799682,0.477202,0.6812006,0.044808030983742204,0.6812006,0.044808030983742204
ws,ti,maccs,DNN,1.010661,0.762927,0.554626,0.7929544,0.050867872649050315,0.7929544,0.050867872649050315
ws,ti,avalon,DNN,1.165648,0.872264,0.407555,0.7817432,0.062349306059971514,0.7817432,0.062349306059971514
ws,ti,morgan+maccs,DNN,0.978126,0.733153,0.58284,0.8103572,0.028533327730217523,0.8103572,0.028533327730217523
ws,ti,morgan+avalon,DNN,1.160631,0.851873,0.412644,0.8002402,0.03445442317264939,0.8002402,0.03445442317264939
ws,ti,maccs+avalon,DNN,1.055922,0.786079,0.513843,0.8317270000000001,0.030630600007182356,0.8317270000000001,0.030630600007182356
ws,ti,morgan+maccs+avalon,DNN,1.080929,0.785216,0.490543,0.8265038,0.022809059212514658,0.8265038,0.022809059212514658
ws,en,morgan,DNN,1.262068,0.955335,0.696082,0.5233932000000001,0.17324002833456245,0.5233932000000001,0.17324002833456245
ws,en,maccs,DNN,0.990518,0.7714,0.812796,0.6730358,0.13695624319672323,0.6730358,0.13695624319672323
ws,en,avalon,DNN,1.047891,0.842884,0.790481,0.6952768,0.05569382687300274,0.6952768,0.05569382687300274
ws,en,morgan+maccs,DNN,0.996549,0.795518,0.810509,0.7483725999999999,0.0587056639468459,0.7483725999999999,0.0587056639468459
ws,en,morgan+avalon,DNN,1.015842,0.8167,0.803102,0.738283,0.061908998273272044,0.738283,0.061908998273272044
ws,en,maccs+avalon,DNN,0.907757,0.695545,0.842772,0.7708118,0.05263168622949485,0.7708118,0.05263168622949485
ws,en,morgan+maccs+avalon,DNN,0.92956,0.765104,0.835129,0.7720878000000001,0.05599393150833401,0.7720878000000001,0.05599393150833401
de,rm,morgan,DNN,0.986183,0.760384,0.762036,0.7416233999999999,0.029201981149230262,0.7416233999999999,0.029201981149230262
de,rm,maccs,DNN,0.944685,0.700893,0.781641,0.7581192000000001,0.016972617304352323,0.7581192000000001,0.016972617304352323
de,rm,avalon,DNN,0.92784,0.68617,0.789359,0.8201972000000002,0.017528969968597694,0.8201972000000002,0.017528969968597694
de,rm,morgan+maccs,DNN,0.831391,0.616949,0.830875,0.8218110000000001,0.02318465946267057,0.8218110000000001,0.02318465946267057
de,rm,morgan+avalon,DNN,0.862808,0.644689,0.817852,0.8393528,0.0144771876329624,0.8393528,0.0144771876329624
de,rm,maccs+avalon,DNN,0.802984,0.597213,0.842235,0.8479986,0.01716524648934586,0.8479986,0.01716524648934586
de,rm,morgan+maccs+avalon,DNN,0.813886,0.609069,0.837922,0.8510626,0.02462641353181579,0.8510626,0.02462641353181579
de,sc,morgan,DNN,2.017848,1.773327,-0.226202,0.7505234000000001,0.03360123451660671,0.7505234000000001,0.03360123451660671
de,sc,maccs,DNN,1.740714,1.485025,0.087485,0.7782942,0.029908507039971083,0.7782942,0.029908507039971083
de,sc,avalon,DNN,1.887896,1.498614,-0.07335,0.8375923999999999,0.03446237920167441,0.8375923999999999,0.03446237920167441
de,sc,morgan+maccs,DNN,2.004782,1.777548,-0.210374,0.8440365999999999,0.02917996769429332,0.8440365999999999,0.02917996769429332
de,sc,morgan+avalon,DNN,1.95822,1.707388,-0.154803,0.8531888000000001,0.026965991584957504,0.8531888000000001,0.026965991584957504
de,sc,maccs+avalon,DNN,1.85629,1.593917,-0.037712,0.8679616000000001,0.03281989117958806,0.8679616000000001,0.03281989117958806
de,sc,morgan+maccs+avalon,DNN,1.674697,1.445916,0.155387,0.864113,0.029673304453666786,0.864113,0.029673304453666786
de,cs,morgan,DNN,1.225261,0.92369,0.67136,0.753088,0.047243253694046104,0.753088,0.047243253694046104
de,cs,maccs,DNN,1.074917,0.814581,0.747062,0.7835677999999999,0.033133452735264385,0.7835677999999999,0.033133452735264385
de,cs,avalon,DNN,1.069423,0.852571,0.749641,0.8252702,0.03756022433053349,0.8252702,0.03756022433053349
de,cs,morgan+maccs,DNN,1.002478,0.778125,0.780005,0.8198896,0.03431642724177445,0.8198896,0.03431642724177445
de,cs,morgan+avalon,DNN,1.047377,0.838925,0.759857,0.8384148,0.03495584972733462,0.8384148,0.03495584972733462
de,cs,maccs+avalon,DNN,0.973681,0.77263,0.792462,0.8563921999999999,0.03066611886365799,0.8563921999999999,0.03066611886365799
de,cs,morgan+maccs+avalon,DNN,0.968741,0.773277,0.794563,0.8519312000000001,0.03275752100144334,0.8519312000000001,0.03275752100144334
de,cl,morgan,DNN,1.277077,1.031131,0.482231,0.767428,0.031086031995093907,0.767428,0.031086031995093907
de,cl,maccs,DNN,1.197126,0.945092,0.545031,0.7842996,0.020465719167427274,0.7842996,0.020465719167427274
de,cl,avalon,DNN,1.19229,0.938117,0.5487,0.8391474000000001,0.039841985184475966,0.8391474000000001,0.039841985184475966
de,cl,morgan+maccs,DNN,1.040034,0.797851,0.656603,0.8351538,0.026522962876722494,0.8351538,0.026522962876722494
de,cl,morgan+avalon,DNN,1.155802,0.893032,0.575899,0.8515217999999999,0.03738705320508694,0.8515217999999999,0.03738705320508694
de,cl,maccs+avalon,DNN,1.090682,0.849546,0.622343,0.8697329999999999,0.026649436661963413,0.8697329999999999,0.026649436661963413
de,cl,morgan+maccs+avalon,DNN,1.086452,0.83804,0.625267,0.8617716,0.026919247245047552,0.8617716,0.026919247245047552
de,pc,morgan,DNN,1.061275,0.789902,0.755978,0.7233796,0.019374167436047404,0.7233796,0.019374167436047404
de,pc,maccs,DNN,0.907789,0.66566,0.821457,0.7782032,0.0086119915791877,0.7782032,0.0086119915791877
de,pc,avalon,DNN,0.862068,0.649685,0.838989,0.809918,0.016404332171716128,0.809918,0.016404332171716128
de,pc,morgan+maccs,DNN,0.87636,0.654739,0.833606,0.8179221999999999,0.012934255655429114,0.8179221999999999,0.012934255655429114
de,pc,morgan+avalon,DNN,0.830059,0.620658,0.850724,0.8283024000000001,0.01221586507129152,0.8283024000000001,0.01221586507129152
de,pc,maccs+avalon,DNN,0.790932,0.57412,0.864465,0.8533551999999999,0.013665037378653593,0.8533551999999999,0.013665037378653593
de,pc,morgan+maccs+avalon,DNN,0.804607,0.603652,0.859738,0.8469253999999999,0.0138106070047627,0.8469253999999999,0.0138106070047627
de,ac,morgan,DNN,1.613267,1.136723,0.522824,0.7592836000000001,0.031680680122749896,0.7592836000000001,0.031680680122749896
de,ac,maccs,DNN,1.464529,1.007653,0.606756,0.8046429999999999,0.041921155485029254,0.8046429999999999,0.041921155485029254
de,ac,avalon,DNN,1.45096,1.019649,0.614009,0.8221168000000001,0.014449968822111678,0.8221168000000001,0.014449968822111678
de,ac,morgan+maccs,DNN,1.384303,0.945452,0.648659,0.8414583999999999,0.02097274319301125,0.8414583999999999,0.02097274319301125
de,ac,morgan+avalon,DNN,1.410438,0.978637,0.635268,0.8519984,0.016819276781122328,0.8519984,0.016819276781122328
de,ac,maccs+avalon,DNN,1.342521,0.915669,0.669548,0.8639082,0.022169636743979385,0.8639082,0.022169636743979385
de,ac,morgan+maccs+avalon,DNN,1.349052,0.92518,0.666325,0.872056,0.022041455741397833,0.872056,0.022041455741397833
de,sa,morgan,DNN,1.071811,0.795539,0.752994,0.7226481999999999,0.05653419944918297,0.7226481999999999,0.05653419944918297
de,sa,maccs,DNN,1.014183,0.750429,0.778842,0.7735074000000001,0.006623803245870177,0.7735074000000001,0.006623803245870177
de,sa,avalon,DNN,0.916331,0.692023,0.819459,0.8028905999999999,0.02769284296420286,0.8028905999999999,0.02769284296420286
de,sa,morgan+maccs,DNN,0.873641,0.638543,0.83589,0.8131184000000001,0.02709034598966946,0.8131184000000001,0.02709034598966946
de,sa,morgan+avalon,DNN,0.888681,0.651763,0.83019,0.8264210000000001,0.02547222868930004,0.8264210000000001,0.02547222868930004
de,sa,maccs+avalon,DNN,0.835618,0.624646,0.849863,0.8420504,0.01612075386078455,0.8420504,0.01612075386078455
de,sa,morgan+maccs+avalon,DNN,0.8309,0.604757,0.851554,0.8412364,0.023237508838943995,0.8412364,0.023237508838943995
de,ti,morgan,DNN,0.993745,0.765305,0.758783,0.7347428,0.048714257881651006,0.7347428,0.048714257881651006
