dataset,split,fp_combo,best_model,best_test_R2,best_cv_val_R2
de,sa,maccs+avalon,DNN,0.849863,0.8420504
de,sa,morgan+maccs+avalon,DNN,0.851554,0.8412364
de,ti,morgan,DNN,0.758783,0.7347428
de,ti,maccs,DNN,0.817532,0.765647
de,ti,avalon,DNN,0.814785,0.8017201999999999
de,ti,morgan+maccs,DNN,0.84313,0.8201722
de,ti,morgan+avalon,DNN,0.838193,0.8270894
de,ti,maccs+avalon,DNN,0.857622,0.8484596
de,ti,morgan+maccs+avalon,DNN,0.864112,0.8427036000000001
de,en,morgan,DNN,0.737145,0.7242331999999999
de,en,maccs,DNN,0.798166,0.754255
de,en,avalon,DNN,0.83563,0.8015015999999999
de,en,morgan+maccs,DNN,0.820235,0.8139396
de,en,morgan+avalon,DNN,0.847462,0.8274868000000002
de,en,maccs+avalon,DNN,0.85263,0.852707
de,en,morgan+maccs+avalon,DNN,0.842798,0.8461460000000001
lo,rm,morgan,DNN,0.598011,0.545403
lo,rm,maccs,DNN,0.722653,0.6094826
lo,rm,avalon,DNN,0.650056,0.6242972
lo,rm,morgan+maccs,DNN,0.686145,0.6383304000000001
lo,rm,morgan+avalon,DNN,0.680266,0.6493104
lo,rm,maccs+avalon,DNN,0.740316,0.6554292
lo,rm,morgan+maccs+avalon,DNN,0.709428,0.6581288
lo,sc,morgan,DNN,0.099944,0.5353548
lo,sc,maccs,DNN,-2.015921,0.5925064
lo,sc,avalon,DNN,0.020048,0.6058314000000001
lo,sc,morgan+maccs,DNN,-0.052103,0.6188224
lo,sc,morgan+avalon,DNN,0.059011,0.6333204
lo,sc,maccs+avalon,DNN,-0.003171,0.6327309999999999
lo,sc,morgan+maccs+avalon,DNN,-0.212138,0.6575648000000001
lo,cs,morgan,DNN,0.386383,0.6222168
lo,cs,maccs,DNN,0.454426,0.701203
lo,cs,avalon,DNN,0.426577,0.7009358
lo,cs,morgan+maccs,DNN,0.485023,0.6940652
lo,cs,morgan+avalon,DNN,0.466451,0.6953940000000001
lo,cs,maccs+avalon,DNN,0.468362,0.7419996
lo,cs,morgan+maccs+avalon,DNN,0.484601,0.7237085999999999
lo,cl,morgan,DNN,0.357292,0.5824170000000001
lo,cl,maccs,DNN,0.515446,0.6332172
lo,cl,avalon,DNN,0.371764,0.6284242000000001
lo,cl,morgan+maccs,DNN,0.514587,0.6449414
lo,cl,morgan+avalon,DNN,0.399296,0.6692616000000001
lo,cl,maccs+avalon,DNN,0.419199,0.6738586
lo,cl,morgan+maccs+avalon,DNN,0.484137,0.6716122
lo,pc,morgan,DNN,0.634475,0.58279
lo,pc,maccs,DNN,0.59466,0.674983
lo,pc,avalon,DNN,0.640625,0.6205024
lo,pc,morgan+maccs,DNN,0.657523,0.6571697999999999
lo,pc,morgan+avalon,DNN,0.661762,0.6444818
lo,pc,maccs+avalon,DNN,0.668329,0.6790286000000001
lo,pc,morgan+maccs+avalon,DNN,0.668645,0.6796068
lo,ac,morgan,DNN,0.520441,0.6071166
lo,ac,maccs,DNN,0.563989,0.7015176000000001
lo,ac,avalon,DNN,0.574841,0.6697504000000001
lo,ac,morgan+maccs,DNN,0.564451,0.679521
lo,ac,morgan+avalon,DNN,0.558529,0.6767128
lo,ac,maccs+avalon,DNN,0.587419,0.7068166
lo,ac,morgan+maccs+avalon,DNN,0.607781,0.7078132
lo,sa,morgan,DNN,0.535786,0.5901228000000001
lo,sa,maccs,DNN,0.611233,0.6192844
lo,sa,avalon,DNN,0.55883,0.6169316
lo,sa,morgan+maccs,DNN,0.604285,0.6661269999999999
lo,sa,morgan+avalon,DNN,0.588848,0.6432488
lo,sa,maccs+avalon,DNN,0.571599,0.6440108
lo,sa,morgan+maccs+avalon,DNN,0.620421,0.6703882
lo,ti,morgan,DNN,0.481018,0.5919508
lo,ti,maccs,DNN,0.691796,0.6171864
lo,ti,avalon,DNN,0.622885,0.5849506
lo,ti,morgan+maccs,DNN,0.619426,0.6548328
lo,ti,morgan+avalon,DNN,0.625005,0.6289498000000001
lo,ti,maccs+avalon,DNN,0.634306,0.631297
lo,ti,morgan+maccs+avalon,DNN,0.651116,0.6664934
lo,en,morgan,DNN,0.606971,0.558812
lo,en,maccs,DNN,0.63067,0.6633403999999999
lo,en,avalon,DNN,0.63236,0.5974276
lo,en,morgan+maccs,DNN,0.648817,0.6471612
lo,en,morgan+avalon,DNN,0.636553,0.6480264
lo,en,maccs+avalon,DNN,0.673763,0.6546128
lo,en,morgan+maccs+avalon,DNN,0.666446,0.6713044
hu,rm,morgan,DNN,0.785023,0.7587588000000001
hu,rm,maccs,DNN,0.786769,0.7948858
hu,rm,avalon,DNN,0.832167,0.817178
hu,rm,morgan+maccs,DNN,0.845899,0.8305826
hu,rm,morgan+avalon,DNN,0.842603,0.832152
hu,rm,maccs+avalon,DNN,0.861842,0.8495056
hu,rm,morgan+maccs+avalon,DNN,0.857408,0.8555246000000001
hu,sc,morgan,DNN,-0.051222,0.7621266
hu,sc,maccs,DNN,-0.27449,0.7645464000000001
hu,sc,avalon,DNN,0.06025,0.8216903999999999
hu,sc,morgan+maccs,DNN,-0.268069,0.8341367999999999
hu,sc,morgan+avalon,DNN,0.236703,0.8358700000000001
hu,sc,maccs+avalon,DNN,-0.021762,0.8374322000000001
hu,sc,morgan+maccs+avalon,DNN,-0.056652,0.8488720000000001
hu,cs,morgan,DNN,0.625922,0.7781703999999999
hu,cs,maccs,DNN,0.719062,0.7949323999999999
hu,cs,avalon,DNN,0.720869,0.8378636
hu,cs,morgan+maccs,DNN,0.741002,0.8423826
hu,cs,morgan+avalon,DNN,0.735367,0.8513748
hu,cs,maccs+avalon,DNN,0.754283,0.8667118
hu,cs,morgan+maccs+avalon,DNN,0.753649,0.8662506000000001
hu,cl,morgan,DNN,0.155286,0.7946396000000001
hu,cl,maccs,DNN,0.43063,0.8219744
hu,cl,avalon,DNN,0.336702,0.8233376
hu,cl,morgan+maccs,DNN,0.389714,0.854678
hu,cl,morgan+avalon,DNN,0.307466,0.8486188
hu,cl,maccs+avalon,DNN,0.40177,0.8586828000000001
hu,cl,morgan+maccs+avalon,DNN,0.340048,0.8598706
hu,pc,morgan,DNN,0.796238,0.7574712
