Descriptor_Name,R2_Score
WHIM,0.820715993934032
Kappa_all_sum,0.807734181755184
MolMR,0.8059995507037769
SMR_VSA_ALL_IND,0.8052065760491908
Kappa_all_ind,0.801615901499023
CalcLabuteASA,0.7967386780851865
VSA_EState_ALL_ind,0.7949829636608006
SlogP_VSA_ALL_ind,0.7923793514871633
Kappa1,0.786414419650495
Chi_ALL_ind,0.7846026836314188
SlogP_VSA_ALL_sum,0.7839772893750495
RDF,0.7839370584174445
Chi1v,0.783693319071961
MQNs_,0.7815619326390497
GETAWAY,0.7780308105055538
HeavyAtomCount,0.7777166689733285
Chi0v,0.7757586602670495
SMR_VSA_ALL_SUM,0.7753444395554409
AUTOCORR2D,0.7688814400186516
PEOE_VSA_ALL_sum,0.7687332246778722
PEOE_VSA_ALL_ind,0.7682878078140986
ChiNv_,0.7676779312024166
SMR_VSA5,0.7624838176584504
NumValenceElectrons,0.7610583967871408
Kappa2,0.7574651897135196
CalcPhi,0.7514273208531511
Chi0n,0.7509524585292611
MolLogP,0.7489192263773293
Chi_ALL_sum,0.7394208457831681
VSA_EState_ALL_sum,0.7338564879208329
Chi1n,0.7240453055699831
Chi0,0.7194452677045553
Chi3v,0.7188964995279112
SlogP_VSA5,0.7173133319518267
Chi1,0.7085541383324414
Chi2n,0.7071418699246743
RadiusOfGyration,0.7041298483205617
Chi4v,0.7033418295092573
NumRotatableBonds,0.6930610895483689
AUTOCORR3D,0.6929873937504221
BertzCT,0.6918754204211746
Chi2v,0.6910258147602953
VSA_EState7,0.6869837748100358
Chi4n,0.6863298553267148
SlogP_VSA6,0.6814503421977279
PEOE_VSA6,0.6730498841358427
SMR_VSA7,0.6726735365955782
VSA_EState2,0.6722663001691396
MORSE,0.6708524464506639
ExactMolWt,0.6705363948291532
Kappa3,0.6672586273660053
BCUT2D,0.6656772567558253
NumHAcceptors,0.664070237313344
Chi3n,0.6636192260490676
NumSaturatedRings,0.6591323845429411
PEOE_VSA14,0.6562014854852909
Ipc,0.6543634197038257
VSA_EState6,0.6523674366791159
BalabanJ,0.6519728689629047
SMR_VSA1,0.6509162759089823
NumAliphaticRings,0.6489701567095975
VSA_EState8,0.6489011830090328
VSA_EState10,0.6465458782430198
PEOE_VSA8,0.6457103460204348
SMR_VSA10,0.6453748153173353
NOCount,0.641964390655064
SlogP_VSA8,0.6400901412990094
PEOE_VSA10,0.6382478198709012
NumHDonors,0.638094849972906
SlogP_VSA1,0.6305866825360488
NumAromaticRings,0.6288942645790947
PMI_ALL_ind,0.6288691232047222
NPR_ALL_sum,0.6284973984795053
RingCount,0.6275571130383559
VSA_EState3,0.6264761885574173
CalcNumBridgeheadAtoms,0.6252714135810215
SMR_VSA9,0.6233139158272133
CalcNumAmideBonds,0.6189443503961134
VSA_EState9,0.6155549625096699
NPR1,0.6139351227848171
CalcNumSpiroAtoms,0.6123514893414648
PEOE_VSA2,0.6113000504499173
SlogP_VSA11,0.6109310941733189
PMI3,0.6098285113218964
SpherocityIndex,0.607028349191117
Eccentricity,0.6054882548944632
Asphericity,0.6035267472887278
SlogP_VSA9,0.6028951606205417
NumHeteroatoms,0.6025743987837041
InertialShapeFactor,0.6025280122956168
