Descriptor_Name,ws496
Original,0.6998825304245957
ExactMolWt,0.8050183810856543
MolLogP,0.8189861087610129
MolMR,0.8118145990589651
TPSA,0.7037033281311564
NumRotatableBonds,0.7656991974908455
HeavyAtomCount,0.7906107405598626
NumHAcceptors,0.7143321564678071
NumHDonors,0.6796633084814185
NumHeteroatoms,0.6862063789590408
NHOHCount,0.6962152477048821
NOCount,0.6690630076846487
RingCount,0.6699181256999613
NumAromaticRings,0.6815949596602573
NumSaturatedRings,0.6915355611883318
NumAliphaticRings,0.6713777512675594
CalcLabuteASA,0.812380498787806
NumValenceElectrons,0.7778201818327054
BalabanJ,0.7184689444945449
BertzCT,0.700710304275305
Ipc,0.6745646734286135
Kappa1,0.800696872047252
Kappa2,0.7973038746890466
Kappa3,0.7047970003801927
Kappa_all_sum,0.7942438156528936
Kappa_all_ind,0.7918613465119488
Chi0,0.8097403412809728
Chi0n,0.796341868395034
Chi0v,0.809353288539771
Chi1,0.8065361843210308
Chi1n,0.7893105919468221
Chi1v,0.7865265767831136
Chi2n,0.794114292967508
Chi2v,0.6999736112434551
Chi3n,0.7612166538517484
Chi3v,0.7631510546150404
Chi4n,0.7623340075368518
Chi4v,0.7614803444366987
ChiNn_,0.7752831450292013
ChiNv_,0.7909473117229207
Chi_ALL_sum,0.7658384979475474
Chi_ALL_ind,0.7994128696287567
CalcPhi,0.796939220820276
HallKierAlpha,0.6459572826202828
CalcNumAmideBonds,0.6958593533311904
FractionCSP3,0.6832342806309987
CalcNumSpiroAtoms,0.6589138325343951
CalcNumBridgeheadAtoms,0.7162432297683134
PEOE_VSA1,0.7057848266427331
PEOE_VSA2,0.7031039194793758
PEOE_VSA3,0.7290975869574385
PEOE_VSA4,0.7066790220572661
PEOE_VSA5,0.6769129718157615
PEOE_VSA6,0.7840833637222959
PEOE_VSA7,0.7015115902055644
PEOE_VSA8,0.6953960935128581
PEOE_VSA9,0.6958256929628128
PEOE_VSA10,0.6567248691185618
PEOE_VSA11,0.7053919333155034
PEOE_VSA12,0.6861413359062928
PEOE_VSA13,0.6999023145703158
PEOE_VSA14,0.7171582455031452
PEOE_VSA_ALL_sum,0.79584478177221
PEOE_VSA_ALL_ind,0.7901626629615273
SMR_VSA1,0.719110681642413
SMR_VSA2,0.6574093151582039
SMR_VSA3,0.7259864822562923
SMR_VSA4,0.680497425135268
SMR_VSA5,0.8084851173542037
SMR_VSA6,0.6710730838021964
SMR_VSA7,0.6918115351852543
SMR_VSA8,0.7248384714938482
SMR_VSA9,0.7249007814904729
SMR_VSA10,0.6949057759714989
SMR_VSA_ALL_SUM,0.7903214151627247
SMR_VSA_ALL_IND,0.8555614357500627
SlogP_VSA1,0.6951258731872412
SlogP_VSA2,0.709378582515125
SlogP_VSA3,0.6780468713339773
SlogP_VSA4,0.7203557616545188
SlogP_VSA5,0.7891179709439271
SlogP_VSA6,0.7137257031751609
SlogP_VSA7,0.6963217290887348
SlogP_VSA8,0.7052445470731453
SlogP_VSA9,0.6732225668854752
SlogP_VSA10,0.696291202264139
SlogP_VSA11,0.7022259738319017
SlogP_VSA12,0.7354461445202785
SlogP_VSA_ALL_sum,0.8081526494648613
SlogP_VSA_ALL_ind,0.8257871689421625
VSA_EState1,0.7065873804583447
VSA_EState2,0.6855182958428312
VSA_EState3,0.7063123222547928
VSA_EState4,0.6590482125920929
VSA_EState5,0.6975142210181764
VSA_EState6,0.7004413580954398
VSA_EState7,0.7189109813793673
VSA_EState8,0.7371029894341252
VSA_EState9,0.6761756382084911
VSA_EState10,0.7081537406893725
VSA_EState_ALL_sum,0.7880720452299909
VSA_EState_ALL_ind,0.8045274034663391
Asphericity,0.7170811937417852
PBF,0.6863781742957885
PMI1,0.7124718204149092
PMI2,0.7845862780390176
PMI3,0.7335428849056157
PMI_ALL_sum,0.7710354476609164
PMI_ALL_ind,0.7803875394346855
NPR1,0.6981129353317397
NPR2,0.7100021543494905
NPR_ALL_sum,0.6966271741306193
NPR_ALL_ind,0.7044444827160528
RadiusOfGyration,0.7936301013268463
InertialShapeFactor,0.6820153817248804
Eccentricity,0.7341011101881953
SpherocityIndex,0.7148650391773853
MQNs_,0.8004726778829312
AUTOCORR2D,0.7985481943029533
AUTOCORR3D,0.8258319968763854
RDF,0.7791492489654451
BCUT2D,0.7313556348562216
MORSE,0.7938744019322145
WHIM,0.7633348418986599
GETAWAY,0.7979936539512722
