Model,R²,RMSE,MAE
Ridge,-0.14889376644259733,2.166914256240169,1.532583235042504
SVR,0.4079106784552343,1.5555909381530755,1.2158577803401212
DNN (TF-Match),0.595,1.286,0.974
DNN (LeakyReLU),0.657,1.185,0.901
LightGBM,0.664174308332905,1.1715443913674597,0.8992168492798732
DNN (Original),0.666,1.169,0.889
XGBoost,0.7017685232842344,1.1040240388856848,0.8525626559117727
RandomForest,0.716932423183541,1.0755902427989046,0.825767676802794
DNN (TensorFlow),0.763,0.984,0.748
